select,id,name,nation,prefix,class,hull_code,air_ops,capacity,scouts,fighters,dive_bombers,torpedo_bombers,attack,gun_range,defense,anti_air,damage,max_speed,speed,task_force,wiki
FALSE,1,'Enterprise','USA','USS','Yorktown','CV','Flight_Deck',80,5,25,25,25,2,4,2,4,0,7,0,16,'https://en.wikipedia.org/wiki/USS_Enterprise_(CV-6)'
FALSE,2,'Hornet','USA','USS','Yorktown','CV','Flight_Deck',80,5,25,25,25,2,4,2,4,0,7,0,16,'https://en.wikipedia.org/wiki/USS_Hornet_(CV-8)'
FALSE,3,'Yorktown','USA','USS','Yorktown','CV','Flight_Deck',80,5,25,25,25,2,4,2,4,0,6,0,17,'https://en.wikipedia.org/wiki/USS_Yorktown_(CV-5)'
FALSE,4,'Northampton','USA','USS','Northampton','CA','Catapult',2,2,0,0,0,6,6,4,4,0,8,0,16,'https://en.wikipedia.org/wiki/USS_Northampton_(CA-26)'
FALSE,5,'Astoria','USA','USS','Astoria','CA','Catapult',2,2,0,0,0,6,6,4,4,0,8,0,17,'https://en.wikipedia.org/wiki/USS_Astoria_(CA-34)'
FALSE,6,'Minneapolis','USA','USS','Astoria','CA','Catapult',2,2,0,0,0,6,6,4,4,0,8,0,16,'https://en.wikipedia.org/wiki/USS_Minneapolis_(CA-36)'
FALSE,7,'New Orleans','USA','USS','Astoria','CA','Catapult',2,2,0,0,0,6,6,4,4,0,8,0,16,'https://en.wikipedia.org/wiki/USS_New_Orleans_(CA-32)'
FALSE,8,'Vincennes','USA','USS','Astoria','CA','Catapult',2,2,0,0,0,6,6,4,4,0,8,0,16,'https://en.wikipedia.org/wiki/USS_Vincennes_(CA-44)'
FALSE,9,'Pensacola','USA','USS','Pensacola','CA','Catapult',2,2,0,0,0,6,6,4,4,0,8,0,16,'https://en.wikipedia.org/wiki/USS_Pensacola_(CA-24)'
FALSE,10,'Portland','USA','USS','Portland','CA','Catapult',2,2,0,0,0,6,6,4,4,0,8,0,17,'https://en.wikipedia.org/wiki/USS_Portland_(CA-33)'
FALSE,11,'Atlanta','USA','USS','Atlanta','CL','None',0,0,0,0,0,4,4,3,6,0,10,0,16,'https://en.wikipedia.org/wiki/USS_Atlanta_(CL-51)'
FALSE,12,'Atago','Japan','IJN','Takao','CA','Catapult',2,2,0,0,0,6,6,4,4,0,7,0,23,'https://en.wikipedia.org/wiki/Japanese_cruiser_Atago'
FALSE,13,'Chokai','Japan','IJN','Takao','CA','Catapult',2,2,0,0,0,6,6,4,4,0,7,0,23,'https://en.wikipedia.org/wiki/Japanese_cruiser_Ch%C5%8Dkai'
FALSE,14,'Myoko','Japan','IJN','Myoko','CA','Catapult',2,2,0,0,0,6,6,4,4,0,7,0,23,'https://en.wikipedia.org/wiki/Japanese_cruiser_My%C5%8Dk%C5%8D'
FALSE,15,'Haguro','Japan','IJN','Myoko','CA','Catapult',2,2,0,0,0,6,6,4,4,0,7,0,23,'https://en.wikipedia.org/wiki/Japanese_cruiser_Haguro'
FALSE,16,'Chikuma','Japan','IJN','Tone','CA','Catapult',2,2,0,0,0,6,6,4,4,0,7,0,21,'https://en.wikipedia.org/wiki/Japanese_cruiser_Chikuma_(1938)'
FALSE,17,'Kumano','Japan','IJN','Mogami','CA','Catapult',2,2,0,0,0,6,6,4,4,0,7,0,22,'https://en.wikipedia.org/wiki/Japanese_cruiser_Kumano'
FALSE,18,'Mikuma','Japan','IJN','Mogami','CA','Catapult',2,2,0,0,0,6,6,4,4,0,7,0,22,'https://en.wikipedia.org/wiki/Japanese_cruiser_Mikuma'
FALSE,19,'Mogami','Japan','IJN','Mogami','CA','Catapult',2,2,0,0,0,6,6,4,4,0,7,0,22,'https://en.wikipedia.org/wiki/Japanese_cruiser_Mogami_(1934)'
FALSE,20,'Suzuya','Japan','IJN','Mogami','CA','Catapult',2,2,0,0,0,6,6,4,4,0,7,0,22,'https://en.wikipedia.org/wiki/Japanese_cruiser_Suzuya_(1934)'
FALSE,21,'Tone','Japan','IJN','Tone','CA','Catapult',2,2,0,0,0,6,6,4,4,0,7,0,21,'https://en.wikipedia.org/wiki/Japanese_cruiser_Tone_(1937)'
FALSE,22,'Nagara','Japan','IJN','Nagara','CL','None',0,0,0,0,0,4,4,3,4,0,10,0,21,'https://en.wikipedia.org/wiki/Japanese_cruiser_Nagara'
FALSE,23,'Sendai','Japan','IJN','Sendai','CL','None',0,0,0,0,0,4,4,3,4,0,10,0,24,'https://en.wikipedia.org/wiki/Japanese_cruiser_Sendai'
FALSE,24,'Yura','Japan','IJN','Nagara','CL','None',0,0,0,0,0,4,4,3,4,0,10,0,23,'https://en.wikipedia.org/wiki/Japanese_cruiser_Yura'
FALSE,25,'Yamato','Japan','IJN','Yamato','BB','Catapult',2,2,0,0,0,12,10,10,10,0,5,0,24,'https://en.wikipedia.org/wiki/Japanese_battleship_Yamato'
FALSE,26,'Nagato','Japan','IJN','Nagato','BB','Catapult',2,2,0,0,0,10,8,8,8,0,5,0,24,'https://en.wikipedia.org/wiki/Japanese_battleship_Nagato'
FALSE,27,'Mutsu','Japan','IJN','Nagato','BB','Catapult',2,2,0,0,0,10,8,8,8,0,5,0,24,'https://en.wikipedia.org/wiki/Japanese_battleship_Mutsu'
FALSE,28,'Haruna','Japan','IJN','Haruna','BC','Catapult',2,2,0,0,0,8,8,6,6,0,6,0,21,'https://en.wikipedia.org/wiki/Japanese_battleship_Haruna'
FALSE,29,'Hiei','Japan','IJN','Kongo','BC','Catapult',2,2,0,0,0,8,8,6,6,0,6,0,23,'https://en.wikipedia.org/wiki/Japanese_battleship_Hiei'
FALSE,30,'Kirishima','Japan','IJN','Kongo','BC','Catapult',2,2,0,0,0,8,8,6,6,0,6,0,21,'https://en.wikipedia.org/wiki/Japanese_battleship_Kirishima'
FALSE,31,'Kongo','Japan','IJN','Kongo','BC','Catapult',2,2,0,0,0,8,8,6,6,0,6,0,23,'https://en.wikipedia.org/wiki/Japanese_battleship_Kong%C5%8D'
FALSE,32,'Akagi','Japan','IJN','Akagi','CV','Flight_Deck',66,0,21,18,27,2,4,2,4,0,6,0,21,'https://en.wikipedia.org/wiki/Japanese_aircraft_carrier_Akagi'
FALSE,33,'Kaga','Japan','IJN','Kaga','CV','Flight_Deck',75,0,21,27,27,2,4,2,4,0,6,0,21,'https://en.wikipedia.org/wiki/Japanese_aircraft_carrier_Kaga'
FALSE,34,'Hiryu','Japan','IJN','Hiryu','CV','Flight_Deck',64,0,22,20,22,2,4,2,4,0,6,0,21,'https://en.wikipedia.org/wiki/Japanese_aircraft_carrier_Hiry%C5%AB'
FALSE,35,'Soryu','Japan','IJN','Soryu','CV','Flight_Deck',63,0,21,21,21,2,4,2,4,0,6,0,21,'https://en.wikipedia.org/wiki/Japanese_aircraft_carrier_S%C5%8Dry%C5%AB'
FALSE,36,'Zuiho','Japan','IJN','Zuiho','CVL','Flight_Deck',30,0,10,10,10,1,4,1,2,0,5,0,23,'https://en.wikipedia.org/wiki/Japanese_aircraft_carrier_Zuih%C5%8D'
FALSE,37,'Hosho','Japan','IJN','Hosho','CVL','Flight_Deck',15,0,5,5,5,1,4,1,2,0,5,0,24,'https://en.wikipedia.org/wiki/Japanese_aircraft_carrier_H%C5%8Dsh%C5%8D'
